User;Time
30200772;71679
41789239;54187
40378588;40533
07387959;48214
90057500;40533
64239944;50346
69429347;51200
77956236;50773
10566392;49493
58309940;51200
08975966;51200
81235336;50347
96645500;52053
50047850;52480
56713366;52906
02738733;51626
94758921;68693
90723334;71253
50885916;37973
19205868;142933
71525506;57600
63685607;46080
90545267;61440
16298941;62294
35834954;54613
94969444;48640
72332575;59306
51627181;58454
87213768;49920
76877770;60586
42977016;58027
22281832;61440
06266644;61866
01906607;62720
37208350;44373
15394685;29867
03747918;37974
60732342;40960
72748377;37973
16534340;31574
82158024;30720
96460960;33280
44573441;31146
03651834;32426
90022968;32000
19609341;31573
40519817;34560
75628816;32427
03440426;31573
61085436;32000
76905325;32853
02216172;33280
21195226;31574
73183707;43947
47478497;32427
27814157;32000
55211808;32000
93771763;32000
95991994;25173
07735908;31146
53208060;32427
42577164;33280
84288896;32426
87428413;25600
86522067;32427
18855709;32000
51203924;32853
71314934;26880
40115560;31573
14870977;25173
63983493;31574
90563199;31573
71974808;26026
62402296;26026
37750622;25600
20919600;25173
68601014;31573
97116347;33280
61870942;32427
16123614;26453
91816727;34133
90172449;25600
98256325;32427
82088664;31146
85955131;26453
85872952;30293
72972870;32427
57144306;31147
84721821;31573
44382380;32853
52207010;33707
97739441;34133
72421009;27307
11118840;31574
02479923;33706
26519677;32427
68987678;32853
75127117;32853
40576057;32853
75831277;33280
28024798;34133
83919539;34560
33600876;33280
10384399;32853
09232556;33280
98890995;26880
41429445;33279
79133424;41387
44679048;44373
49543786;69974
94897850;32854
13761044;31573
07985877;32426
30112630;19627
81946096;25600
78293581;31147
06816459;25173
39629588;25600
48639743;26453
90828290;32854
56831727;32427
90637607;36266
19670064;32000
09430424;31573
35354728;30293
66645130;32426
96440293;32000
43026386;31573
94410833;32426
83099599;138666
31563678;30293
97797985;32854
08208246;37120
86008981;43520
98999329;32853
93678890;32000
78603483;32853
25144382;32427
06271496;25174
22512714;25173
54345973;31573
18998222;32426
80883204;30720
24150629;32000
26148159;30720
94369851;32000
39189758;32000
73253022;32000
94702993;26880
45154669;34560
20637049;31147
85876129;32000
18261270;30294
28518345;37546
32633815;35413
22956913;31147
92213484;30720
38773912;31147
78384480;32000
73413471;32426
40491527;71680
41285007;32000
79784981;32853
81496263;32000
88292119;32000
02052487;26453
58618260;35414
76528799;32427
79303838;25173
30454781;32426
49767763;32426
94768437;26027
28590347;25600
84323316;31146
93662323;32000
74143541;32427
85008155;34560
00209441;32427
81905328;32000
49514610;30294
30860071;25600
87306572;25600
46363755;25600
96949790;30720
22190095;32853
09656440;31574
96397468;32853
29386975;19626
55599696;26880
66108845;32000
23959607;33280
04618253;33280
09893626;27734
47243428;37120
52308822;32000
66016352;31999
44009313;30720
01676830;20480
89932841;26454
86354991;32853
52179409;32853
97632703;26454
84991293;33280
55438469;32853
44520964;33707
35843554;25600
93314537;79787
07206772;665599
11908265;51627
28242086;47787
79498908;59733
15132138;42240
69007059;38400
15068700;29867
59598383;45227
64651436;35840
59393601;26027
44067291;32426
29619603;31146
84287331;32853
06191070;37547
22456206;25173
00865546;25600
71660054;31573
73537662;32000
56762717;30293
34828812;31573
30003732;31147
00997250;31573
77152044;26453
72813781;32854
88646528;29440
04278019;32000
23554060;26453
47286927;30294
27825827;31573
91835657;32426
88426514;26454
91847024;26880
90833100;33280
05351189;26453
89492421;31574
99016558;21333
07779205;32000
45236779;32427
32538337;32853
17184174;34560
54430769;34987
28851630;24747
97743277;31574
39146792;25600
88585219;30720
16277715;31573
39404355;31146
83627786;29866
39620517;31573
69366985;32000
63121067;31573
53822987;26026
51450778;26026
41565739;32000
38550000;39253
96234639;28587
27320591;31573
19311712;31574
97302815;31573
57465528;32000
98982297;32427
38268819;32000
04832672;25600
84968177;31147
87621495;31574
80405180;25600
38261177;30720
37624124;26026
77687498;30294
65622170;31147
94101008;134400
09578659;60160
19631796;35414
81296908;32427
88995045;26880
95189212;26027
47012503;32000
67826676;31147
