User;Time;esta/no esta?
07552392;26040287;no esta
98067507;23217037;esta
05411292;25569674;no esta
92480297;24761142;no esta
89978980;28031964;no esta
68626275;24959115;no esta
18213863;23271650;esta
24198068;25608074;esta
68432840;24712075;no esta
56838182;26565939;no esta
10630689;25974580;no esta
02230516;25035061;no esta
59745728;27650098;no esta
93016467;28366897;no esta
51512555;24939915;no esta
36345387;24965942;esta
28924303;29922095;no esta
52847245;26426419;esta
85552330;23385996;esta
65160722;23371490;esta
78696215;25303435;no esta
48037321;25383221;no esta
37330786;23196557;esta
07161787;25370421;esta
12739214;26016820;no esta
45192991;27091166;no esta
58278902;26053513;no esta
17932966;25290634;no esta
47541958;25936180;no esta
59111483;6420898;esta
55006880;26502366;no esta
56446384;27213619;no esta
44856425;25290635;no esta
22949572;25372128;no esta
89683958;30263428;no esta
44951585;24549089;esta
59266489;25966473;esta
74343919;24776075;esta
70907552;25336715;no esta
28459595;24935648;no esta
88573194;26706739;no esta
20716835;23722637;esta
22456206;25861941;esta
63845133;6400;esta
08644441;27994417;no esta
94050154;28892976;no esta
56183734;27499911;no esta
69645424;24831114;no esta
65500845;24804235;no esta
44804000;25145567;no esta
52016631;24536288;esta
33144327;25182261;no esta
83846613;24808928;esta
99773120;25230901;no esta
32870827;25258634;no esta
51193734;25213407;no esta
87213572;23950476;esta
20441933;24876768;no esta
67710175;23158584;esta
03210593;23142798;esta
32620714;23272503;esta
36169334;25387487;no esta
37245413;25369567;no esta
18814111;25941300;no esta
93023283;28191537;no esta
21974418;25958366;no esta
53372642;25278261;no esta
17860149;17196351;esta
43994242;25159648;no esta
68599860;27300658;no esta
39971058;25719434;no esta
60369407;22538211;esta
53320567;23996983;esta
19636847;27341192;no esta
70517517;26711006;no esta
94965372;24924982;esta
19964241;23761036;esta
04607516;26291166;no esta
43363138;26561673;no esta
21419966;23165410;esta
38022382;26530953;no esta
03715927;27053192;no esta
26132238;25130208;no esta
26795705;27067272;no esta
44835481;25329461;no esta
37762152;25305568;no esta
98076916;25375541;no esta
19922663;25595274;no esta
46100653;24767542;no esta
37589255;22779277;esta
05433393;23654370;esta
36827448;2778450;esta
43346345;25708341;no esta
89784486;26254900;no esta
52221224;25421194;no esta
43898194;25538954;no esta
11627156;25194207;no esta
31215097;25959220;no esta
30706117;23353997;esta
48739390;25850847;no esta
92771034;28645510;no esta
05945926;28896816;no esta
92443699;25233034;no esta
29069017;26121780;no esta
22989723;23681249;esta
87097192;26350046;no esta
52162170;27449565;no esta
16134811;25593140;no esta
36514944;25254368;no esta
99400764;23589943;esta
70298968;23868983;esta
20767663;25081142;no esta
26655112;23489677;esta
40713513;23394956;esta
81023036;25446794;esta
15966334;25433141;esta
11479645;26782259;esta
70959907;26221620;no esta
78719258;23909943;esta
65782822;26802313;no esta
08257909;26873992;no esta
40594517;26119647;no esta
23336411;23471330;esta
74607829;25093941;no esta
07896627;26140980;no esta
05258312;24904928;esta
33461095;22899171;esta
96536909;24831968;no esta
65790733;24862262;no esta
35030444;25301728;no esta
66371216;25174582;no esta
82147860;23131277;esta
31921107;26379913;no esta
25303201;24565729;no esta
99734438;26775006;no esta
46067556;24752608;no esta
33471964;26803166;no esta
63719697;23386850;esta
35637209;26149940;no esta
99316469;27739271;no esta
96070539;24714208;no esta
20370858;22927330;esta
33754170;25576501;no esta
60406462;25279541;no esta
75892209;24740235;no esta
37056138;25757407;no esta
91623252;25030368;no esta
49584604;24324662;esta
92377036;25055542;no esta
04560767;23737143;esta
01059530;24144182;esta
67836284;24900661;no esta
80559348;25620874;no esta
78879352;24848609;no esta
67215773;27325832;no esta
44898849;24794422;no esta
51852399;25558154;no esta
74180721;24659169;esta
07636678;26721246;no esta
35200836;23319010;esta
78664070;24919434;no esta
88580771;25441674;no esta
94240781;25197621;no esta
43445706;24906634;no esta
28195837;27091592;no esta
57587059;24756875;no esta
67826676;24899382;esta
93257583;23407330;esta
64941199;24894688;no esta
12968958;27767004;no esta
42681750;23237517;esta
51312561;23447864;esta
24917811;26170420;no esta
92739466;23361250;esta
48418373;25566688;no esta
81738019;25562420;no esta
79511726;23173944;esta
86590184;23316877;esta
44448844;26574473;no esta
96089910;25295327;no esta
64563352;24279009;esta
87222635;26988765;no esta
57308558;25358048;no esta
31264892;26595805;no esta
25255573;23292984;esta
32673075;29946842;no esta
56681131;27746098;no esta
36839394;29966468;no esta
88277537;26084660;no esta
77972448;25227915;no esta
49009891;25963913;no esta
50279662;26007007;no esta
87019957;25106741;no esta
11064822;25085834;no esta
65433138;26873992;no esta
12964089;27893297;no esta
50584352;25360181;no esta
43427423;24328929;esta
56158818;24784608;esta
98162915;27069832;no esta
85487416;24520929;esta
64007027;23156024;esta
62048614;23071117;esta
85240150;26317620;no esta
80753165;27518259;no esta
93099722;26459699;no esta
62119339;27300659;no esta
06015920;29339269;no esta
99942444;27908231;no esta
52519030;29857242;no esta
76330066;26719539;esta
53909915;26847112;no esta
58357687;23245197;esta
24927610;22881677;esta
71717374;25111434;no esta
16116904;25538527;no esta
40250799;25812873;no esta
84752045;25918686;no esta
92140467;19584829;esta
14264619;26313353;no esta
66576020;23443170;esta
69066373;29282523;no esta
