User;Time;esta/no esta?
23859511;3584422;esta
36992418;2945703;esta
51896397;2956370;no esta
74097777;3262716;no esta
87201808;2881277;no esta
46910592;2820689;esta
73219643;3240530;no esta
36764709;3180796;no esta
20672406;2793383;esta
51282827;2923516;no esta
31819528;2818130;esta
93997697;3133009;no esta
48474720;2941010;no esta
72139485;3250342;esta
48035206;3018663;esta
29437122;3034450;no esta
21268215;3188476;esta
64826599;2996049;no esta
41842308;3048103;no esta
87589305;2920529;no esta
50102124;3278929;no esta
30598266;3079250;no esta
76984290;3175676;no esta
13351712;3338236;esta
10448256;3454288;no esta
11200004;3328850;no esta
41409450;3415462;no esta
38655013;3154343;no esta
97971398;3124903;no esta
59988864;3218770;no esta
94529907;3005862;esta
47462115;3159890;no esta
36762813;2996903;esta
20361401;2886396;esta
65146465;2884690;esta
59647452;3286183;no esta
12023370;3146236;no esta
94701295;3109969;no esta
81762235;3125756;no esta
45365269;3250769;no esta
24201033;3090342;no esta
44895460;3167142;no esta
26077268;3151783;esta
02252209;3198289;no esta
19332715;3172262;no esta
04948963;3229010;no esta
71324779;3155196;no esta
17785943;3122769;no esta
96615713;3370235;no esta
78116117;3027623;no esta
34505853;2666237;esta
72592514;3085222;no esta
85376450;3073703;no esta
77945735;2994343;esta
47964945;2789116;esta
05755985;3239676;no esta
76459626;2934609;no esta
72381484;2967463;no esta
17933795;3398822;no esta
96140398;3027196;no esta
80951899;2925223;no esta
21919145;3696208;no esta
34832703;2848850;esta
36664255;2976422;no esta
37210160;3163302;no esta
71338428;3089916;no esta
93780860;2955089;no esta
95712301;3203836;no esta
94905330;3539196;no esta
85768739;3175250;no esta
92416120;3061756;no esta
24100044;3399249;no esta
37567629;3097169;no esta
36458341;2980263;esta
95376790;3191463;no esta
35363332;3183782;no esta
76666284;3051943;no esta
98450353;3310076;no esta
09261996;2939730;esta
30818497;3075410;esta
60612719;3170130;no esta
30106584;3282343;no esta
88792566;3159889;no esta
53026777;3236690;no esta
05909810;3295143;no esta
85764134;3162876;no esta
39162728;2850983;esta
78232025;3302822;esta
49479592;3107836;no esta
95649238;2901756;esta
54472255;3418449;no esta
